Gasto_en_Comida,Gasto_Total,errores,R,log_y,log_x,log_u2,abs_u,sqrt_x,inv_x
217,382,-44.128132,1947.292,5.3798971,5.9454207,7.5741949,44.128132,19.544821,.0026178011
196,388,-67.748047,4589.7979,5.2781148,5.9610052,8.431591,67.748047,19.697716,.0025773195
303,391,37.941998,1439.5952,5.7137327,5.9687076,7.2721171,37.941998,19.77372,.0025575447
270,415,-5.5376554,30.665627,5.5984221,6.0282784,3.4231424,5.5376554,20.37155,.0024096386
325,456,31.559603,996.00854,5.7838254,6.1224928,6.9037557,31.559603,21.354156,.0021929825
260,460,-35.187008,1238.1255,5.5606818,6.1312265,7.1213536,35.187008,21.447611,.0021739129
300,472,-.42683339,.18218674,5.7037826,6.1569791,-1.7027231,.42683339,21.725561,.0021186441
325,478,21.953253,481.94531,5.7838254,6.1696105,6.1778307,21.953253,21.863211,.0020920502
336,494,25.966818,674.27563,5.817111,6.2025356,6.513639,25.966818,22.22611,.0020242915
345,516,25.360468,643.15332,5.8435445,6.2461066,6.466383,25.360468,22.715633,.0019379845
326,525,2.4305978,5.9078054,5.7868972,6.2633982,1.7762744,2.4305978,22.912878,.0019047619
362,554,25.767683,663.97351,5.891644,6.3171649,6.4982424,25.767683,23.537205,.0018050541
315,575,-30.402014,924.28247,5.7525725,6.3543701,6.8290176,30.402014,23.979158,.0017391305
355,579,7.8513765,61.644112,5.872118,6.3613024,4.1213779,7.8513765,24.062418,.0017271157
325,585,-24.768538,613.48047,5.7838254,6.3716121,6.4191484,24.768538,24.186773,.0017094017
370,586,19.794811,391.83456,5.9135032,6.3733196,5.9708395,19.794811,24.207438,.0017064846
390,590,38.048203,1447.6658,5.9661469,6.3801227,7.2777076,38.048203,24.289915,.0016949152
420,608,60.188461,3622.6509,6.0402546,6.4101748,8.1949615,60.188461,24.657656,.0016447369
410,610,49.315159,2431.9849,6.0161572,6.4134588,7.796463,49.315159,24.698177,.0016393443
383,616,19.695244,387.90262,5.9480348,6.4232469,5.9607544,19.695244,24.819347,.0016233766
315,618,-49.178062,2418.4819,5.7525725,6.4264884,7.7908955,49.178062,24.859606,.001618123
267,623,-99.36132,9872.6719,5.5872488,6.4345465,9.197526,99.36132,24.959969,.0016051364
420,627,51.892067,2692.7866,6.0402546,6.4409466,7.8983316,51.892067,25.039968,.0015948963
300,630,-69.417885,4818.8428,5.7037826,6.4457197,8.4802895,69.417885,25.0998,.0015873016
410,635,38.398849,1474.4717,6.0161572,6.4536252,7.2960548,38.398849,25.199205,.0015748031
220,640,-153.78441,23649.645,5.3936276,6.4614682,10.071103,153.78441,25.298222,.0015625
403,648,25.722372,661.64044,5.9989367,6.4738908,6.4947224,25.722372,25.455845,.0015432099
350,650,-28.150932,792.47498,5.857933,6.4769726,6.6751609,28.150932,25.495098,.0015384615
390,655,9.6658058,93.427803,5.9661469,6.4846354,4.537189,9.6658058,25.592968,.0015267176
385,662,1.6092403,2.5896542,5.9532433,6.4952655,.95152438,1.6092403,25.729361,.001510574
470,663,86.172585,7425.7144,6.1527328,6.4967752,8.9127045,86.172585,25.748787,.0015082957
322,677,-67.940544,4615.9175,5.7745514,6.5176711,8.4372663,67.940544,26.019224,.0014771048
540,680,148.7495,22126.412,6.2915692,6.5220928,10.004527,148.7495,26.076809,.0014705883
433,690,37.382977,1397.4869,6.0707378,6.5366917,7.2424307,37.382977,26.267851,.0014492754
295,695,-102.80029,10567.898,5.6869755,6.5439119,9.2655764,102.80029,26.362852,.0014388489
340,695,-57.800285,3340.873,5.8289456,6.5439119,8.113987,57.800285,26.362852,.0014388489
500,695,102.19971,10444.781,6.2146082,6.5439119,9.2538576,102.19971,26.362852,.0014388489
450,720,41.283409,1704.3198,6.1092477,6.5792513,7.4409213,41.283409,26.832815,.0013888889
415,721,5.8467579,34.184578,6.0282784,6.5806394,3.5317745,5.8467579,26.851442,.0013869626
540,730,126.91689,16107.896,6.2915692,6.5930448,9.6870651,126.91689,27.018513,.0013698631
360,731,-53.519764,2864.3652,5.8861041,6.5944133,7.9601021,53.519764,27.037012,.0013679891
450,733,35.60693,1267.8534,6.1092477,6.5971456,7.1450806,35.60693,27.073973,.0013642565
395,745,-24.632896,606.7796,5.9788857,6.6133842,6.4081655,24.632896,27.294687,.0013422819
430,751,7.7471905,60.018959,6.0637851,6.6214056,4.0946603,7.7471905,27.404379,.0013315579
332,752,-90.689461,8224.5781,5.8051348,6.6227365,9.0148821,90.689461,27.422619,.0013297872
397,752,-25.689461,659.94836,5.9839363,6.6227365,6.4921618,25.689461,27.422619,.0013297872
446,769,15.88745,252.41107,6.1003189,6.6450911,5.5310588,15.88745,27.730848,.0013003901
480,773,48.140842,2317.5408,6.1737862,6.650279,7.7482619,48.140842,27.802877,.0012936611
352,773,-79.859161,6377.4858,5.8636312,6.650279,8.7605295,79.859161,27.802877,.0012936611
410,775,-22.732464,516.76489,6.0161572,6.652863,6.2475882,22.732464,27.838821,.0012903226
380,785,-57.098988,3260.2944,5.9401712,6.6656837,8.0895729,57.098988,28.017851,.0012738854
610,788,171.59106,29443.494,6.4134588,6.669498,10.290228,171.59106,28.071337,.0012690355
530,790,90.717751,8229.71,6.2728772,6.6720328,9.0155058,90.717751,28.106939,.0012658228
360,795,-81.465508,6636.6289,5.8861041,6.6783423,8.8003597,81.465508,28.195744,.0012578616
305,801,-139.08542,19344.754,5.7203116,6.6858611,9.8701763,139.08542,28.301943,.0012484394
